"","Date","Borough","cd","Cases","Individuals"
"1",2017-04-30,"Bronx","201",723,273
"2",2017-04-30,"Bronx","202",501,15
"3",2017-04-30,"Bronx","203",731,267
"4",2017-04-30,"Bronx","204",845,490
"5",2017-04-30,"Bronx","205",807,446
"6",2017-04-30,"Bronx","206",623,168
"7",2017-04-30,"Bronx","207",611,114
"8",2017-04-30,"Bronx","208",231,761
"9",2017-04-30,"Bronx","209",741,284
"10",2017-04-30,"Bronx","210",283,854
"11",2017-04-30,"Bronx","211",391,1061
"12",2017-04-30,"Bronx","212",681,195
"13",2017-04-30,"Brooklyn","301",336,903
"14",2017-04-30,"Brooklyn","302",313,814
"15",2017-04-30,"Brooklyn","303",9,455
"16",2017-04-30,"Brooklyn","304",494,1161
"17",2017-04-30,"Brooklyn","305",50,575
"18",2017-04-30,"Brooklyn","306",209,731
"19",2017-04-30,"Brooklyn","307",182,684
"20",2017-04-30,"Brooklyn","308",523,1178
"21",2017-04-30,"Brooklyn","309",340,913
"22",2017-04-30,"Brooklyn","310",564,323
"23",2017-04-30,"Brooklyn","311",790,395
"24",2017-04-30,"Brooklyn","312",761,378
"25",2017-04-30,"Brooklyn","313",262,807
"26",2017-04-30,"Brooklyn","314",335,905
"27",2017-04-30,"Brooklyn","315",156,603
"28",2017-04-30,"Brooklyn","316",717,209
"29",2017-04-30,"Brooklyn","317",569,45
"30",2017-04-30,"Brooklyn","318",410,1058
"31",2017-04-30,"Manhattan","101",250,817
"32",2017-04-30,"Manhattan","102",390,808
"33",2017-04-30,"Manhattan","103",417,1007
"34",2017-04-30,"Manhattan","104",254,692
"35",2017-04-30,"Manhattan","105",179,378
"36",2017-04-30,"Manhattan","106",838,358
"37",2017-04-30,"Manhattan","107",287,806
"38",2017-04-30,"Manhattan","108",583,1140
"39",2017-04-30,"Manhattan","109",447,1030
"40",2017-04-30,"Manhattan","110",701,144
"41",2017-04-30,"Manhattan","111",727,137
"42",2017-04-30,"Manhattan","112",457,1074
"43",2017-04-30,"Queens","401",526,1025
"44",2017-04-30,"Queens","402",233,622
"45",2017-04-30,"Queens","403",214,724
"46",2017-04-30,"Queens","404",180,682
"47",2017-04-30,"Queens","405",199,745
"48",2017-04-30,"Queens","406",319,780
"49",2017-04-30,"Queens","407",851,395
"50",2017-04-30,"Queens","408",171,612
"51",2017-04-30,"Queens","409",231,755
"52",2017-04-30,"Queens","410",198,731
"53",2017-04-30,"Queens","411",183,402
"54",2017-04-30,"Queens","412",730,202
"55",2017-04-30,"Queens","413",354,953
"56",2017-04-30,"Queens","414",502,1176
"57",2017-05-31,"Bronx","201",715,255
"58",2017-05-31,"Bronx","202",500,14
"59",2017-05-31,"Bronx","203",719,263
"60",2017-05-31,"Bronx","204",841,481
"61",2017-05-31,"Bronx","205",801,441
"62",2017-05-31,"Bronx","206",634,174
"63",2017-05-31,"Bronx","207",617,116
"64",2017-05-31,"Bronx","208",237,762
"65",2017-05-31,"Bronx","209",759,308
"66",2017-05-31,"Bronx","210",289,853
"67",2017-05-31,"Bronx","211",395,1058
"68",2017-05-31,"Bronx","212",682,187
"69",2017-05-31,"Brooklyn","301",329,889
"70",2017-05-31,"Brooklyn","302",326,844
"71",2017-05-31,"Brooklyn","303",23,470
"72",2017-05-31,"Brooklyn","304",493,1156
"73",2017-05-31,"Brooklyn","305",53,572
"74",2017-05-31,"Brooklyn","306",206,721
"75",2017-05-31,"Brooklyn","307",175,659
"76",2017-05-31,"Brooklyn","308",521,1169
"77",2017-05-31,"Brooklyn","309",343,918
"78",2017-05-31,"Brooklyn","310",567,326
"79",2017-05-31,"Brooklyn","311",716,377
"80",2017-05-31,"Brooklyn","312",821,397
"81",2017-05-31,"Brooklyn","313",255,803
"82",2017-05-31,"Brooklyn","314",338,898
"83",2017-05-31,"Brooklyn","315",154,417
"84",2017-05-31,"Brooklyn","316",719,204
"85",2017-05-31,"Brooklyn","317",570,41
"86",2017-05-31,"Brooklyn","318",414,1059
"87",2017-05-31,"Manhattan","101",246,813
"88",2017-05-31,"Manhattan","102",374,794
"89",2017-05-31,"Manhattan","103",408,996
"90",2017-05-31,"Manhattan","104",244,688
"91",2017-05-31,"Manhattan","105",190,389
"92",2017-05-31,"Manhattan","106",851,355
"93",2017-05-31,"Manhattan","107",278,802
"94",2017-05-31,"Manhattan","108",607,319
"95",2017-05-31,"Manhattan","109",445,1027
"96",2017-05-31,"Manhattan","110",701,138
"97",2017-05-31,"Manhattan","111",723,136
"98",2017-05-31,"Manhattan","112",460,1069
"99",2017-05-31,"Queens","401",523,1022
"100",2017-05-31,"Queens","402",247,638
"101",2017-05-31,"Queens","403",211,725
"102",2017-05-31,"Queens","404",190,697
"103",2017-05-31,"Queens","405",207,751
"104",2017-05-31,"Queens","406",341,780
"105",2017-05-31,"Queens","407",846,388
"106",2017-05-31,"Queens","408",163,596
"107",2017-05-31,"Queens","409",233,757
"108",2017-05-31,"Queens","410",195,728
"109",2017-05-31,"Queens","411",183,391
"110",2017-05-31,"Queens","412",729,197
"111",2017-05-31,"Queens","413",347,935
"112",2017-05-31,"Queens","414",498,1157
"113",2017-06-30,"Bronx","201",738,249
"114",2017-06-30,"Bronx","202",494,7
"115",2017-06-30,"Bronx","203",703,240
"116",2017-06-30,"Bronx","204",847,490
"117",2017-06-30,"Bronx","205",793,431
"118",2017-06-30,"Bronx","206",626,167
