"","Date","Borough","cd","Cases","Individuals"
"1",2017-04-30,"Bronx","201",816,1908
"2",2017-04-30,"Bronx","202",456,1037
"3",2017-04-30,"Bronx","203",824,1889
"4",2017-04-30,"Bronx","204",968,2213
"5",2017-04-30,"Bronx","205",918,2078
"6",2017-04-30,"Bronx","206",680,1654
"7",2017-04-30,"Bronx","207",668,1525
"8",2017-04-30,"Bronx","208",173,358
"9",2017-04-30,"Bronx","209",833,1928
"10",2017-04-30,"Bronx","210",220,486
"11",2017-04-30,"Bronx","211",340,790
"12",2017-04-30,"Bronx","212",777,1745
"13",2017-04-30,"Brooklyn","301",275,560
"14",2017-04-30,"Brooklyn","302",250,437
"15",2017-04-30,"Brooklyn","304",447,961
"16",2017-04-30,"Brooklyn","306",153,319
"17",2017-04-30,"Brooklyn","307",129,287
"18",2017-04-30,"Brooklyn","308",479,988
"19",2017-04-30,"Brooklyn","309",279,577
"20",2017-04-30,"Brooklyn","310",58,105
"21",2017-04-30,"Brooklyn","311",90,173
"22",2017-04-30,"Brooklyn","312",86,157
"23",2017-04-30,"Brooklyn","313",200,428
"24",2017-04-30,"Brooklyn","314",274,568
"25",2017-04-30,"Brooklyn","315",103,209
"26",2017-04-30,"Brooklyn","316",810,1761
"27",2017-04-30,"Brooklyn","317",594,1273
"28",2017-04-30,"Brooklyn","318",360,788
"29",2017-04-30,"Manhattan","101",191,440
"30",2017-04-30,"Manhattan","102",34,43
"31",2017-04-30,"Manhattan","103",367,712
"32",2017-04-30,"Manhattan","104",195,294
"33",2017-04-30,"Manhattan","105",126,157
"34",2017-04-30,"Manhattan","106",96,137
"35",2017-04-30,"Manhattan","107",224,427
"36",2017-04-30,"Manhattan","108",62,93
"37",2017-04-30,"Manhattan","109",397,745
"38",2017-04-30,"Manhattan","110",797,1595
"39",2017-04-30,"Manhattan","111",820,1581
"40",2017-04-30,"Manhattan","112",405,816
"41",2017-04-30,"Queens","401",481,736
"42",2017-04-30,"Queens","402",175,228
"43",2017-04-30,"Queens","403",158,310
"44",2017-04-30,"Queens","404",127,285
"45",2017-04-30,"Queens","405",144,334
"46",2017-04-30,"Queens","406",26,39
"47",2017-04-30,"Queens","407",98,173
"48",2017-04-30,"Queens","408",119,218
"49",2017-04-30,"Queens","409",173,347
"50",2017-04-30,"Queens","410",143,319
"51",2017-04-30,"Queens","411",13,18
"52",2017-04-30,"Queens","412",823,1753
"53",2017-04-30,"Queens","413",296,626
"54",2017-04-30,"Queens","414",457,980
"55",2017-05-31,"Bronx","201",809,1866
"56",2017-05-31,"Bronx","202",453,1035
"57",2017-05-31,"Bronx","203",812,1879
"58",2017-05-31,"Bronx","204",963,2186
"59",2017-05-31,"Bronx","205",911,2059
"60",2017-05-31,"Bronx","206",699,1687
"61",2017-05-31,"Bronx","207",674,1534
"62",2017-05-31,"Bronx","208",179,359
"63",2017-05-31,"Bronx","209",858,1978
"64",2017-05-31,"Bronx","210",226,485
"65",2017-05-31,"Bronx","211",346,788
"66",2017-05-31,"Bronx","212",778,1720
"67",2017-05-31,"Brooklyn","301",269,536
"68",2017-05-31,"Brooklyn","302",266,472
"69",2017-05-31,"Brooklyn","304",445,955
"70",2017-05-31,"Brooklyn","306",150,308
"71",2017-05-31,"Brooklyn","307",122,264
"72",2017-05-31,"Brooklyn","308",477,972
"73",2017-05-31,"Brooklyn","309",282,583
"74",2017-05-31,"Brooklyn","310",59,108
"75",2017-05-31,"Brooklyn","311",81,156
"76",2017-05-31,"Brooklyn","312",94,175
"77",2017-05-31,"Brooklyn","313",196,421
"78",2017-05-31,"Brooklyn","314",277,553
"79",2017-05-31,"Brooklyn","315",101,198
"80",2017-05-31,"Brooklyn","316",812,1756
"81",2017-05-31,"Brooklyn","317",595,1234
"82",2017-05-31,"Brooklyn","318",364,789
"83",2017-05-31,"Manhattan","101",188,436
"84",2017-05-31,"Manhattan","102",32,41
"85",2017-05-31,"Manhattan","103",359,697
"86",2017-05-31,"Manhattan","104",186,290
"87",2017-05-31,"Manhattan","105",136,167
"88",2017-05-31,"Manhattan","106",98,134
"89",2017-05-31,"Manhattan","107",216,420
"90",2017-05-31,"Manhattan","108",66,101
"91",2017-05-31,"Manhattan","109",395,739
"92",2017-05-31,"Manhattan","110",797,1582
"93",2017-05-31,"Manhattan","111",816,1580
"94",2017-05-31,"Manhattan","112",408,807
"95",2017-05-31,"Queens","401",479,732
"96",2017-05-31,"Queens","402",189,245
"97",2017-05-31,"Queens","403",155,312
"98",2017-05-31,"Queens","404",136,299
"99",2017-05-31,"Queens","405",151,343
"100",2017-05-31,"Queens","406",28,39
"101",2017-05-31,"Queens","407",97,166
"102",2017-05-31,"Queens","408",110,200
"103",2017-05-31,"Queens","409",175,350
"104",2017-05-31,"Queens","410",140,316
"105",2017-05-31,"Queens","411",13,17
"106",2017-05-31,"Queens","412",822,1748
"107",2017-05-31,"Queens","413",287,605
"108",2017-05-31,"Queens","414",450,956
"109",2017-06-30,"Bronx","201",830,1854
"110",2017-06-30,"Bronx","202",447,1015
"111",2017-06-30,"Bronx","203",799,1830
"112",2017-06-30,"Bronx","204",971,2213
"113",2017-06-30,"Bronx","205",902,2030
"114",2017-06-30,"Bronx","206",689,1645
"115",2017-06-30,"Bronx","207",670,1518
"116",2017-06-30,"Bronx","208",178,363
