"","Date","Borough","Cases","Individuals"
"1",2017-04-01,"Bronx",7673,17611
"2",2017-04-01,"Brooklyn",4587,9591
"3",2017-04-01,"Manhattan",3714,7040
"4",2017-04-01,"Queens",3233,6366
"5",2017-04-01,"Staten Island",480,1080
"6",2017-05-01,"Bronx",7708,17576
"7",2017-05-01,"Brooklyn",4590,9480
"8",2017-05-01,"Manhattan",3697,6994
"9",2017-05-01,"Queens",3232,6328
"10",2017-05-01,"Staten Island",477,1053
"11",2017-06-01,"Bronx",7710,17471
"12",2017-06-01,"Brooklyn",4511,9429
"13",2017-06-01,"Manhattan",3709,7051
"14",2017-06-01,"Queens",3225,6296
"15",2017-06-01,"Staten Island",482,1100
"16",2017-07-01,"Bronx",7701,17519
"17",2017-07-01,"Brooklyn",4551,9437
"18",2017-07-01,"Manhattan",3756,7129
"19",2017-07-01,"Queens",3254,6347
"20",2017-07-01,"Staten Island",497,1142
"21",2017-08-01,"Bronx",6805,15462
"22",2017-08-01,"Brooklyn",4685,9737
"23",2017-08-01,"Manhattan",3751,7095
"24",2017-08-01,"Queens",3257,6345
"25",2017-08-01,"Staten Island",491,1148
"26",2017-09-01,"Bronx",7737,17684
"27",2017-09-01,"Brooklyn",5660,11791
"28",2017-09-01,"Manhattan",3753,7140
"29",2017-09-01,"Queens",3041,5869
"30",2017-09-01,"Staten Island",454,1031
"31",2017-10-01,"Bronx",7763,17867
"32",2017-10-01,"Brooklyn",5641,11689
"33",2017-10-01,"Manhattan",3758,7121
"34",2017-10-01,"Queens",2932,5547
"35",2017-10-01,"Staten Island",420,962
"36",2017-11-01,"Bronx",7772,17947
"37",2017-11-01,"Brooklyn",4676,9690
"38",2017-11-01,"Manhattan",3774,7129
"39",2017-11-01,"Queens",3028,5723
"40",2017-11-01,"Staten Island",442,1006
"41",2017-12-01,"Bronx",7701,17930
"42",2017-12-01,"Brooklyn",4661,9616
"43",2017-12-01,"Manhattan",3692,6976
"44",2017-12-01,"Queens",3047,5756
"45",2017-12-01,"Staten Island",446,1010
