"","Date","Borough","Facility","Number"
"1",2019-12-31,"Bronx","Adult.Family.Comm.Hotel",0
"2",2019-12-31,"Brooklyn","Adult.Family.Comm.Hotel",0
"3",2019-12-31,"Manhattan","Adult.Family.Comm.Hotel",0
"4",2019-12-31,"Queens","Adult.Family.Comm.Hotel",2
"5",2019-12-31,"Staten Island","Adult.Family.Comm.Hotel",0
"6",2019-12-31,"Bronx","Adult.Family.Shelter",8
"7",2019-12-31,"Brooklyn","Adult.Family.Shelter",4
"8",2019-12-31,"Manhattan","Adult.Family.Shelter",4
"9",2019-12-31,"Queens","Adult.Family.Shelter",3
"10",2019-12-31,"Staten Island","Adult.Family.Shelter",0
"11",2019-12-31,"Bronx","Adult.Shelter",22
"12",2019-12-31,"Brooklyn","Adult.Shelter",35
"13",2019-12-31,"Manhattan","Adult.Shelter",40
"14",2019-12-31,"Queens","Adult.Shelter",9
"15",2019-12-31,"Staten Island","Adult.Shelter",0
"16",2019-12-31,"Bronx","Adult.Shelter.Comm.Hotel",2
"17",2019-12-31,"Brooklyn","Adult.Shelter.Comm.Hotel",11
"18",2019-12-31,"Manhattan","Adult.Shelter.Comm.Hotel",2
"19",2019-12-31,"Queens","Adult.Shelter.Comm.Hotel",15
"20",2019-12-31,"Staten Island","Adult.Shelter.Comm.Hotel",0
"21",2019-12-31,"Bronx","FWC.Cluster",47
"22",2019-12-31,"Brooklyn","FWC.Cluster",6
"23",2019-12-31,"Manhattan","FWC.Cluster",12
"24",2019-12-31,"Queens","FWC.Cluster",0
"25",2019-12-31,"Staten Island","FWC.Cluster",0
"26",2019-12-31,"Bronx","FWC.Comm.Hotel",3
"27",2019-12-31,"Brooklyn","FWC.Comm.Hotel",15
"28",2019-12-31,"Manhattan","FWC.Comm.Hotel",16
"29",2019-12-31,"Queens","FWC.Comm.Hotel",17
"30",2019-12-31,"Staten Island","FWC.Comm.Hotel",0
"31",2019-12-31,"Bronx","FWC.Shelter",73
"32",2019-12-31,"Brooklyn","FWC.Shelter",51
"33",2019-12-31,"Manhattan","FWC.Shelter",31
"34",2019-12-31,"Queens","FWC.Shelter",19
"35",2019-12-31,"Staten Island","FWC.Shelter",1
