,Date,Borough,Individuals,Cases
1,April-17,Bronx,17611,7673
2,April-17,Brooklyn,9591,4587
3,April-17,Manhattan,7040,3714
4,April-17,Queens,6366,3233
5,April-17,Staten Island,1080,480
6,May-17,Bronx,17576,7708
7,May-17,Brooklyn,9480,4590
8,May-17,Manhattan,6994,3697
9,May-17,Queens,6328,3232
10,May-17,Staten Island,1053,477
11,June-17,Bronx,17471,7710
12,June-17,Brooklyn,9429,4511
13,June-17,Manhattan,7051,3709
14,June-17,Queens,6296,3225
15,June-17,Staten Island,1100,482
16,July-17,Bronx,17519,7701
17,July-17,Brooklyn,9437,4551
18,July-17,Manhattan,7129,3756
19,July-17,Queens,6347,3254
20,July-17,Staten Island,1142,497
21,August-17,Bronx,15462,6805
22,August-17,Brooklyn,9737,4685
23,August-17,Manhattan,7095,3751
24,August-17,Queens,6345,3257
25,August-17,Staten Island,1148,491
26,September-17,Bronx,17684,7737
27,September-17,Brooklyn,11791,5660
28,September-17,Manhattan,7140,3753
29,September-17,Queens,5869,3041
30,September-17,Staten Island,1031,454
31,October-17,Bronx,17867,7763
32,October-17,Brooklyn,11689,5641
33,October-17,Manhattan,7121,3758
34,October-17,Queens,5547,2932
35,October-17,Staten Island,962,420
36,November-17,Bronx,17947,7772
37,November-17,Brooklyn,9690,4676
38,November-17,Manhattan,7129,3774
39,November-17,Queens,5723,3028
40,November-17,Staten Island,1006,442
41,December-17,Bronx,17930,7701
42,December-17,Brooklyn,9616,4661
43,December-17,Manhattan,6976,3692
44,December-17,Queens,5756,3047
45,December-17,Staten Island,1010,446
46,January-18,Bronx,18208,7826
47,January-18,Brooklyn,9801,4765
48,January-18,Manhattan,7116,3813
49,January-18,Queens,6016,3187
50,January-18,Staten Island,1038,463
51,February-18,Bronx,18023,7770
52,February-18,Brooklyn,9655,4725
53,February-18,Manhattan,7047,3791
54,February-18,Queens,5955,3188
55,February-18,Staten Island,1069,483
56,March-18,Bronx,17985,7771
57,March-18,Brooklyn,9609,4750
58,March-18,Manhattan,6941,3724
59,March-18,Queens,5958,3194
60,March-18,Staten Island,1051,464
61,April-18,Bronx,17886,7772
62,April-18,Brooklyn,11412,5698
63,April-18,Manhattan,6961,3750
64,April-18,Queens,6008,3235
65,April-18,Staten Island,1092,479
66,May-18,Bronx,17591,7684
67,May-18,Brooklyn,11167,5605
68,May-18,Manhattan,6831,3695
69,May-18,Queens,6034,3259
70,May-18,Staten Island,1057,472
71,June-18,Bronx,17449,7666
72,June-18,Brooklyn,10955,5489
73,June-18,Manhattan,6745,3647
74,June-18,Queens,5985,3233
75,June-18,Staten Island,1030,468
76,July-18,Bronx,17143,7581
77,July-18,Brooklyn,10684,5411
78,July-18,Manhattan,6564,3570
79,July-18,Queens,6018,3252
80,July-18,Staten Island,1041,464
81,August-18,Bronx,16143,7117
82,August-18,Brooklyn,11218,5613
83,August-18,Manhattan,6692,3650
84,August-18,Queens,6251,3344
85,August-18,Staten Island,1049,467
86,September-18,Bronx,16155,7118
87,September-18,Brooklyn,11409,5711
88,September-18,Manhattan,6726,3703
89,September-18,Queens,6402,3404
90,September-18,Staten Island,1085,488
91,October-18,Bronx,16346,7203
92,October-18,Brooklyn,11383,5707
93,October-18,Manhattan,6623,3670
94,October-18,Queens,6527,3516
95,October-18,Staten Island,1072,487
96,November-18,Bronx,16308,7183
97,November-18,Brooklyn,11260,5696
98,November-18,Manhattan,6527,3630
99,November-18,Queens,6594,3536
100,November-18,Staten Island,1095,501
101,December-18,Bronx,16097,7108
102,December-18,Brooklyn,11277,5719
103,December-18,Manhattan,6525,3614
104,December-18,Queens,6547,3530
105,December-18,Staten Island,1122,505
106,January-19,Bronx,18208,7826
107,January-19,Brooklyn,9801,4765
108,January-19,Manhattan,7116,3813
109,January-19,Queens,6016,3187
110,January-19,Staten Island,1038,463
111,February-19,Bronx,18023,7770
112,February-19,Brooklyn,9655,4725
113,February-19,Manhattan,7047,3791
114,February-19,Queens,5955,3188
115,February-19,Staten Island,1069,483
116,March-19,Bronx,15947,7119
117,March-19,Brooklyn,11001,5657
118,March-19,Manhattan,6418,3642
119,March-19,Queens,6489,3582
120,March-19,Staten Island,1062,477
121,April-19,Bronx,15457,6968
122,April-19,Brooklyn,10852,5616
123,April-19,Manhattan,6345,3647
124,April-19,Queens,6436,3594
125,April-19,Staten Island,1059,477
126,May-19,Bronx,17524,7843
127,May-19,Brooklyn,10535,5415
128,May-19,Manhattan,6279,3573
129,May-19,Queens,6323,3550
130,May-19,Staten Island,1034,465
131,June-19,Bronx,17604,7884
132,June-19,Brooklyn,10601,5457
133,June-19,Manhattan,6263,3553
134,June-19,Queens,6332,3535
135,June-19,Staten Island,1051,479
136,July-19,Bronx,15480,6920
137,July-19,Brooklyn,10510,5443
138,July-19,Manhattan,6338,3585
139,July-19,Queens,6409,3578
140,July-19,Staten Island,1090,484
141,August-19,Bronx,15686,6994
142,August-19,Brooklyn,10576,5455
143,August-19,Manhattan,6392,3599
144,August-19,Queens,6490,3578
145,August-19,Staten Island,1053,465
146,September-19,Bronx,15817,7068
147,September-19,Brooklyn,10629,5520
148,September-19,Manhattan,6467,3635
149,September-19,Queens,6706,3660
150,September-19,Staten Island,1119,486
151,October-19,Bronx,15862,7056
152,October-19,Brooklyn,10724,5554
153,October-19,Manhattan,6409,3643
154,October-19,Queens,6714,3653
155,October-19,Staten Island,1117,492
156,November-19,Bronx,15862,7052
157,November-19,Brooklyn,10665,5556
158,November-19,Manhattan,6427,3632
159,November-19,Queens,6685,3635
160,November-19,Staten Island,1112,499
161,December-19,Bronx,17767,7861
162,December-19,Brooklyn,13192,6786
163,December-19,Manhattan,6404,3612
164,December-19,Queens,6582,3586
165,December-19,Staten Island,1121,504
