"","Borough","Community.District","total"
"1","Bronx",201,16
"2","Bronx",202,7
"3","Bronx",203,27
"4","Bronx",204,34
"5","Bronx",205,24
"6","Bronx",206,27
"7","Bronx",207,17
"8","Bronx",208,1
"9","Bronx",209,8
"10","Bronx",210,3
"11","Bronx",211,0
"12","Bronx",212,5
"13","Brooklyn",301,11
"14","Brooklyn",302,7
"15","Brooklyn",303,27
"16","Brooklyn",304,13
"17","Brooklyn",305,25
"18","Brooklyn",306,5
"19","Brooklyn",307,10
"20","Brooklyn",308,13
"21","Brooklyn",309,3
"22","Brooklyn",312,3
"23","Brooklyn",313,1
"24","Brooklyn",314,1
"25","Brooklyn",315,1
"26","Brooklyn",316,28
"27","Brooklyn",317,3
"28","Brooklyn",318,2
"29","Manhattan",101,1
"30","Manhattan",103,24
"31","Manhattan",104,10
"32","Manhattan",105,9
"33","Manhattan",106,6
"34","Manhattan",107,9
"35","Manhattan",108,2
"36","Manhattan",109,6
"37","Manhattan",110,32
"38","Manhattan",111,35
"39","Manhattan",112,7
"40","Queens",401,6
"41","Queens",402,4
"42","Queens",403,5
"43","Queens",404,3
"44","Queens",405,0
"45","Queens",407,6
"46","Queens",408,1
"47","Queens",409,2
"48","Queens",410,8
"49","Queens",412,25
"50","Queens",413,9
"51","Queens",414,2
"52","Staten Island",501,1
