Report Date,Borough,Community District,Case Type,Cases,Individuals
11/30/2019,Bronx,1,All Case Types,943,"2,108"
11/30/2019,Bronx,2,All Case Types,458,"1,079"
11/30/2019,Bronx,3,All Case Types,825,"1,925"
11/30/2019,Bronx,4,All Case Types,"1,003","2,308"
11/30/2019,Bronx,5,All Case Types,913,"2,086"
11/30/2019,Bronx,6,All Case Types,715,"1,626"
11/30/2019,Bronx,7,All Case Types,635,"1,377"
11/30/2019,Bronx,8,All Case Types,171,339
11/30/2019,Bronx,9,All Case Types,866,"1,972"
11/30/2019,Bronx,10,All Case Types,247,541
11/30/2019,Bronx,11,All Case Types,404,859
11/30/2019,Bronx,12,All Case Types,875,"1,950"
11/30/2019,Bronx,Unknown CD,All Case Types,"1,632","2,874"
11/30/2019,Brooklyn,1,All Case Types,241,478
11/30/2019,Brooklyn,2,All Case Types,272,440
11/30/2019,Brooklyn,3,All Case Types,965,"1,841"
11/30/2019,Brooklyn,4,All Case Types,370,731
11/30/2019,Brooklyn,5,All Case Types,"1,316","2,777"
11/30/2019,Brooklyn,6,All Case Types,139,257
11/30/2019,Brooklyn,7,All Case Types,125,239
11/30/2019,Brooklyn,8,All Case Types,425,771
11/30/2019,Brooklyn,9,All Case Types,352,622
11/30/2019,Brooklyn,10,All Case Types,67,129
11/30/2019,Brooklyn,11,All Case Types,104,209
11/30/2019,Brooklyn,12,All Case Types,83,148
11/30/2019,Brooklyn,13,All Case Types,215,418
11/30/2019,Brooklyn,14,All Case Types,297,532
11/30/2019,Brooklyn,15,All Case Types,103,174
11/30/2019,Brooklyn,16,All Case Types,753,"1,569"
11/30/2019,Brooklyn,17,All Case Types,635,"1,289"
11/30/2019,Brooklyn,18,All Case Types,410,818
11/30/2019,Brooklyn,Unknown CD,All Case Types,"1,306","2,248"
11/30/2019,Manhattan,1,All Case Types,220,444
11/30/2019,Manhattan,2,All Case Types,35,49
11/30/2019,Manhattan,3,All Case Types,343,602
11/30/2019,Manhattan,4,All Case Types,208,301
11/30/2019,Manhattan,5,All Case Types,82,118
11/30/2019,Manhattan,6,All Case Types,111,131
11/30/2019,Manhattan,7,All Case Types,207,336
11/30/2019,Manhattan,8,All Case Types,90,137
11/30/2019,Manhattan,9,All Case Types,378,710
11/30/2019,Manhattan,10,All Case Types,778,"1,428"
11/30/2019,Manhattan,11,All Case Types,780,"1,442"
11/30/2019,Manhattan,12,All Case Types,400,729
11/30/2019,Manhattan,Unknown CD,All Case Types,"2,078","2,808"
11/30/2019,Queens,1,All Case Types,507,682
11/30/2019,Queens,2,All Case Types,293,396
11/30/2019,Queens,3,All Case Types,141,269
11/30/2019,Queens,4,All Case Types,134,246
11/30/2019,Queens,5,All Case Types,124,227
11/30/2019,Queens,6,All Case Types,34,59
11/30/2019,Queens,7,All Case Types,126,242
11/30/2019,Queens,8,All Case Types,177,305
11/30/2019,Queens,9,All Case Types,174,320
11/30/2019,Queens,10,All Case Types,143,270
11/30/2019,Queens,11,All Case Types,17,30
11/30/2019,Queens,12,All Case Types,908,"1,842"
11/30/2019,Queens,13,All Case Types,359,720
11/30/2019,Queens,14,All Case Types,498,"1,077"
11/30/2019,Queens,Unknown CD,All Case Types,"1,039","1,765"
11/30/2019,Staten Island,1,All Case Types,414,955
11/30/2019,Staten Island,2,All Case Types,53,94
11/30/2019,Staten Island,3,All Case Types,32,63
11/30/2019,Staten Island,Unknown CD,All Case Types,86,156
10/31/2019,Bronx,1,All Case Types,940,"2,096"
10/31/2019,Bronx,2,All Case Types,452,"1,056"
10/31/2019,Bronx,3,All Case Types,836,"1,936"
10/31/2019,Bronx,4,All Case Types,"1,003","2,314"
10/31/2019,Bronx,5,All Case Types,910,"2,101"
10/31/2019,Bronx,6,All Case Types,715,"1,624"
10/31/2019,Bronx,7,All Case Types,643,"1,400"
10/31/2019,Bronx,8,All Case Types,169,332
10/31/2019,Bronx,9,All Case Types,875,"2,012"
10/31/2019,Bronx,10,All Case Types,249,530
10/31/2019,Bronx,11,All Case Types,397,855
10/31/2019,Bronx,12,All Case Types,870,"1,920"
10/31/2019,Bronx,Unknown CD,All Case Types,"1,618","2,855"
10/31/2019,Brooklyn,1,All Case Types,242,481
10/31/2019,Brooklyn,2,All Case Types,279,445
10/31/2019,Brooklyn,3,All Case Types,950,"1,812"
10/31/2019,Brooklyn,4,All Case Types,372,726
10/31/2019,Brooklyn,5,All Case Types,"1,324","2,821"
10/31/2019,Brooklyn,6,All Case Types,143,263
10/31/2019,Brooklyn,7,All Case Types,119,234
10/31/2019,Brooklyn,8,All Case Types,427,785
10/31/2019,Brooklyn,9,All Case Types,357,618
10/31/2019,Brooklyn,10,All Case Types,65,128
10/31/2019,Brooklyn,11,All Case Types,100,200
10/31/2019,Brooklyn,12,All Case Types,76,136
10/31/2019,Brooklyn,13,All Case Types,214,423
10/31/2019,Brooklyn,14,All Case Types,307,572
10/31/2019,Brooklyn,15,All Case Types,105,181
10/31/2019,Brooklyn,16,All Case Types,760,"1,597"
10/31/2019,Brooklyn,17,All Case Types,640,"1,326"
10/31/2019,Brooklyn,18,All Case Types,398,797
10/31/2019,Brooklyn,Unknown CD,All Case Types,"1,298","2,244"
10/31/2019,Manhattan,1,All Case Types,214,451
10/31/2019,Manhattan,2,All Case Types,31,47
10/31/2019,Manhattan,3,All Case Types,341,582
10/31/2019,Manhattan,4,All Case Types,196,281
10/31/2019,Manhattan,5,All Case Types,79,114
10/31/2019,Manhattan,6,All Case Types,106,128
10/31/2019,Manhattan,7,All Case Types,217,351
10/31/2019,Manhattan,8,All Case Types,91,135
10/31/2019,Manhattan,9,All Case Types,388,720
10/31/2019,Manhattan,10,All Case Types,795,"1,452"
10/31/2019,Manhattan,11,All Case Types,787,"1,410"
10/31/2019,Manhattan,12,All Case Types,398,738
10/31/2019,Manhattan,Unknown CD,All Case Types,"1,999","2,738"
10/31/2019,Queens,1,All Case Types,506,675
10/31/2019,Queens,2,All Case Types,288,390
10/31/2019,Queens,3,All Case Types,152,283
10/31/2019,Queens,4,All Case Types,138,253
10/31/2019,Queens,5,All Case Types,121,230
10/31/2019,Queens,6,All Case Types,34,55
10/31/2019,Queens,7,All Case Types,127,250
10/31/2019,Queens,8,All Case Types,164,291
10/31/2019,Queens,9,All Case Types,173,304
10/31/2019,Queens,10,All Case Types,142,264
10/31/2019,Queens,11,All Case Types,22,37
10/31/2019,Queens,12,All Case Types,899,"1,814"
10/31/2019,Queens,13,All Case Types,363,731
10/31/2019,Queens,14,All Case Types,524,"1,137"
10/31/2019,Queens,Unknown CD,All Case Types,"1,036","1,804"
10/31/2019,Staten Island,1,All Case Types,414,964
10/31/2019,Staten Island,2,All Case Types,48,91
10/31/2019,Staten Island,3,All Case Types,30,62
10/31/2019,Staten Island,Unknown CD,All Case Types,94,170
09/30/2019,Bronx,1,All Case Types,941,"2,129"
