,borough,borough_id,borough_cd_id,2019_homeless_population,2018_homeless_population,2017_homeless_population
1736,Bronx,2,201,2026,2151,2006
1737,Bronx,2,202,1031,1071,993
1738,Bronx,2,203,1930,1920,1996
1739,Bronx,2,204,2213,2213,2241
1740,Bronx,2,205,2029,2191,2181
1741,Bronx,2,206,1631,1765,1704
1742,Bronx,2,207,1370,1405,1531
1743,Bronx,2,208,331,408,367
1744,Bronx,2,209,1940,2015,1907
1745,Bronx,2,210,554,507,449
1746,Bronx,2,211,801,796,723
1747,Bronx,2,212,1911,1868,1832
1748,Brooklyn,3,301,466,452,499
1749,Brooklyn,3,302,440,450,474
1750,Brooklyn,3,303,1759,1876,1876
1751,Brooklyn,3,304,748,789,883
1752,Brooklyn,3,305,2653,2653,2653
1753,Brooklyn,3,306,251,314,339
1754,Brooklyn,3,307,219,292,284
1755,Brooklyn,3,308,744,865,931
1756,Brooklyn,3,309,603,640,628
1757,Brooklyn,3,310,122,94,99
1758,Brooklyn,3,311,212,200,157
1759,Brooklyn,3,312,159,154,149
1760,Brooklyn,3,313,457,414,487
1761,Brooklyn,3,314,518,611,605
1762,Brooklyn,3,315,178,163,229
1763,Brooklyn,3,316,1571,1754,1750
1764,Brooklyn,3,317,1270,1351,1330
1765,Brooklyn,3,318,822,858,772
1766,Manhattan,1,101,475,389,417
1767,Manhattan,1,102,46,45,37
1768,Manhattan,1,103,615,664,699
1769,Manhattan,1,104,307,264,306
1770,Manhattan,1,105,126,198,233
1771,Manhattan,1,106,128,154,145
1772,Manhattan,1,107,329,299,393
1773,Manhattan,1,108,132,112,99
1774,Manhattan,1,109,709,682,734
1775,Manhattan,1,110,1444,1451,1514
1776,Manhattan,1,111,1362,1427,1546
1777,Manhattan,1,112,731,840,853
1778,Queens,4,401,672,746,603
1779,Queens,4,402,373,345,262
1780,Queens,4,403,273,333,287
1781,Queens,4,404,247,221,266
1782,Queens,4,405,211,251,292
1783,Queens,4,406,67,35,42
1784,Queens,4,407,236,192,170
1785,Queens,4,408,298,266,231
1786,Queens,4,409,312,315,251
1787,Queens,4,410,254,285,223
1788,Queens,4,411,30,41,21
1789,Queens,4,412,1827,1775,1614
1790,Queens,4,413,712,654,556
1791,Queens,4,414,1070,1088,938
1792,Staten Island,5,501,958,958,958
1793,Staten Island,5,502,101,101,101
1794,Staten Island,5,503,62,62,62
