ID,Name,DIVISIONNA,ADDRESS,ZIPCODE,PHONENUMBE,SERVICESOF,URL,CITY,Latitude,Longitude
1,Crises,"Safe Horizon, Inc",214 West 30th Street,10027,(212) 268-3943,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York,40.74862808,73.99338311
2,Crises,Covenant House,"427 West 52nd Street,",10019,(212) 613-0300 ext. 0532,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York,40.76543659,73.98926243
3,Crises,Covenant House,460 West 41st Street,10036,(212) 613-0300 ext. 0531,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York,40.75854147,73.99557687
4,Crises,Ali Forney Center,241 Taffee Place,11205,(212) 206-0574,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn,40.69090313,73.95931031
5,Crises,The Turning Point Sunset Terrace,319-321 42nd Street,11220,(718) 640-1560 ext. 9025,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn,40.65202799,74.00935105
6,Crises,Ali Forney Center,216 23rd Street,11232,(212) 206-0574,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn,40.66053404,73.99542364
7,Crises,The Turning Point,5220 Fourth Avenue,11220,(718) 439-0077,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn,40.64510298,74.01450042
8,Drop in,Cardinal McCloskey,333 East 149th Street,10451,(718) 993-5495,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Bronx,40.81698295,73.92017897
9,Drop in,The Door,121 6th Avenue,10013,(212) 453-0248,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York,40.72412129,74.00516928
10,Drop in,Project Hospitality,1546 Castleton Avenue,10302,(877) 994-6736,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Staten Island,40.63574444,74.13440428
11,Drop in,SCO Family of Services,89 South 10th Street,11221,(718) 384-7083,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Brooklyn,40.70832273,73.96509135
13,Drop in,Bronx Community Pride Center,448 East 149th Street,10455,(718) 292-4368,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,Bronx,40.81491019,73.91562948
14,Drop in,"Safe Horizon, Inc",209 West 125th Street,10027,(212) 695-2220,Runaway and Homeless Youth (RHY) services,http://www.nyc.gov/html/dycd/html/runaway/runaway.shtml,New York,40.80939075,73.94858861
