Report Date,Borough,Borough_id,Borough_cd_id,Census Type,Adult Family Comm Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Comm Hotel,Family Cluster,Family with Children Comm Hotel,Family with Chidren Shelter,,,,,
07/31/2018,Bronx,2,201,Individuals,,183,219,,169,74,1206,,,,,
07/31/2018,Bronx,2,202,Individuals,,184,,,244,,960,,,,,
07/31/2018,Bronx,2,203,Individuals,,146,424,,260,280,1347,,,,,
07/31/2018,Bronx,2,204,Individuals,,,419,62,1655,,1970,,,,Borough_id,Borough_cd_id
07/31/2018,Bronx,2,205,Individuals,,264,493,,925,,1045,,,,,
07/31/2018,Bronx,2,206,Individuals,,52,120,69,524,,2161,,,,,
07/31/2018,Bronx,2,207,Individuals,,96,391,,395,,320,,,,,
07/31/2018,Bronx,2,208,Individuals,,,,,,,274,,,,,
07/31/2018,Bronx,2,209,Individuals,,,101,,561,,212,,,,,
07/31/2018,Bronx,2,210,Individuals,,,,,,,575,,,,,
07/31/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
07/31/2018,Bronx,2,212,Individuals,,,98,,270,,299,,,,,
08/31/2018,Bronx,2,201,Individuals,,184,212,,160,76,1231,,,,,
08/31/2018,Bronx,2,202,Individuals,,188,,,266,,967,,,,,
08/31/2018,Bronx,2,203,Individuals,,154,426,,242,300,1361,,,,,
08/31/2018,Bronx,2,204,Individuals,,,431,74,1601,,1947,,,,,
08/31/2018,Bronx,2,205,Individuals,,264,492,,898,,1067,,,,,
08/31/2018,Bronx,2,206,Individuals,,84,121,80,544,,2252,,,,,
08/31/2018,Bronx,2,207,Individuals,,95,539,,409,,336,,,,,
08/31/2018,Bronx,2,208,Individuals,,,,,,,272,,,,,
08/31/2018,Bronx,2,209,Individuals,,,100,,526,,223,,,,,
08/31/2018,Bronx,2,210,Individuals,,,,,,,578,,,,,
08/31/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
08/31/2018,Bronx,2,212,Individuals,,,107,,277,,300,,,,,
09/30/2018,Bronx,2,201,Individuals,,172,220,,170,80,1223,,,,,
09/30/2018,Bronx,2,202,Individuals,,188,,,290,,953,,,,,
09/30/2018,Bronx,2,203,Individuals,,162,426,,270,302,1342,,,,,
09/30/2018,Bronx,2,204,Individuals,,,438,74,1617,,1984,,,,,
09/30/2018,Bronx,2,205,Individuals,,271,496,,908,,1074,,,,,
09/30/2018,Bronx,2,206,Individuals,,96,119,77,556,,2246,,,,,
09/30/2018,Bronx,2,207,Individuals,,102,615,,384,,326,,,,,
09/30/2018,Bronx,2,208,Individuals,,,,,,,265,,,,,
09/30/2018,Bronx,2,209,Individuals,,,101,,493,,232,,,,,
09/30/2018,Bronx,2,210,Individuals,,,,,,,593,,,,,
09/30/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
09/30/2018,Bronx,2,212,Individuals,,,108,,275,,294,,,,,
11/30/2018,Bronx,2,204,Individuals,,,438,74,1586,,1937,,,,,
10/31/2018,Bronx,2,206,Individuals,,104,124,80,553,,2293,,,,,
10/31/2018,Bronx,2,210,Individuals,,,,,,,591,,,,,
10/31/2018,Bronx,2,208,Individuals,,,,,,,274,,,,,
10/31/2018,Bronx,2,202,Individuals,,200,,,252,,974,,,,,
01/31/2019,Bronx,2,204,Individuals,,,425,76,1502,,1969,,,,,
12/31/2018,Bronx,2,207,Individuals,,115,615,,392,,321,,,,,
11/30/2018,Bronx,2,205,Individuals,,279,496,,926,,1049,,,,,
10/31/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
01/31/2019,Bronx,2,207,Individuals,,111,627,,368,,326,,,,,
11/30/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
10/31/2018,Bronx,2,209,Individuals,,,99,,500,,227,,,,,
10/31/2018,Bronx,2,201,Individuals,,182,223,,173,79,1210,,,,,
01/31/2019,Bronx,2,212,Individuals,,,108,,177,,292,,,,,
11/30/2018,Bronx,2,208,Individuals,,,,,,,251,,,,,
01/31/2019,Bronx,2,209,Individuals,,,101,,505,,226,,,,,
01/31/2019,Bronx,2,203,Individuals,,252,392,,196,292,1412,,,,,
12/31/2018,Bronx,2,203,Individuals,,243,369,,262,298,1404,,,,,
11/30/2018,Bronx,2,207,Individuals,,114,628,,411,,331,,,,,
01/31/2019,Bronx,2,208,Individuals,,,,,,,246,,,,,
10/31/2018,Bronx,2,205,Individuals,,269,493,,921,,1060,,,,,
11/30/2018,Bronx,2,202,Individuals,,198,,,258,,963,,,,,
11/30/2018,Bronx,2,203,Individuals,,174,416,,261,295,1393,,,,,
01/31/2019,Bronx,2,211,Individuals,,,,,,,,,,,,
01/31/2019,Bronx,2,210,Individuals,,,,,,,596,,,,,
12/31/2018,Bronx,2,201,Individuals,,174,218,,174,87,1246,,,,,
12/31/2018,Bronx,2,209,Individuals,,,100,,489,,221,,,,,
11/30/2018,Bronx,2,210,Individuals,,,,,,,593,,,,,
12/31/2018,Bronx,2,202,Individuals,,193,,,264,,958,,,,,
01/31/2019,Bronx,2,202,Individuals,,198,,,249,,901,,,,,
12/31/2018,Bronx,2,210,Individuals,,,,,,,600,,,,,
10/31/2018,Bronx,2,204,Individuals,,,433,76,1594,,1962,,,,,
10/31/2018,Bronx,2,207,Individuals,,112,628,,395,,326,,,,,
01/31/2019,Bronx,2,201,Individuals,,177,220,,172,84,1271,,,,,
12/31/2018,Bronx,2,206,Individuals,,100,113,87,522,,2260,,,,,
12/31/2018,Bronx,2,211,Individuals,,,,,,,,,,,,
01/31/2019,Bronx,2,205,Individuals,,275,497,,913,,1056,,,,,
11/30/2018,Bronx,2,212,Individuals,,,108,,268,,300,,,,,
12/31/2018,Bronx,2,208,Individuals,,,,,,,255,,,,,
11/30/2018,Bronx,2,209,Individuals,,,100,,509,,228,,,,,
11/30/2018,Bronx,2,206,Individuals,,104,112,87,532,,2253,,,,,
12/31/2018,Bronx,2,204,Individuals,,,426,76,1514,,1974,,,,,
12/31/2018,Bronx,2,205,Individuals,,279,498,,903,,1041,,,,,
01/31/2019,Bronx,2,206,Individuals,,102,124,90,507,,2318,,,,,
12/31/2018,Bronx,2,212,Individuals,,,107,,252,,289,,,,,
10/31/2018,Bronx,2,212,Individuals,,,108,,272,,294,,,,,
10/31/2018,Bronx,2,203,Individuals,,166,429,,261,296,1363,,,,,
11/30/2018,Bronx,2,201,Individuals,,184,224,,169,87,1253,,,,,
04/30/2019,Bronx,2,211,Individuals,,,,,,,,,,,,
04/30/2019,Bronx,2,205,Individuals,,273,493,,894,,1056,,,,,
04/30/2019,Bronx,2,201,Individuals,,179,214,,167,87,1271,,,,,
04/30/2019,Bronx,2,207,Individuals,,111,623,,240,,312,,,,,
04/30/2019,Bronx,2,204,Individuals,,,440,76,1357,,1975,,,,,
04/30/2019,Bronx,2,202,Individuals,,185,,,236,,786,,,,,
