Facility PK,Name,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zip Code,Latitude,Longitude,Zip Code,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
61071035,HealthNeed Medical Urgent Care,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"136-17 39 Avenue,Suite #1A",,Queens,11354,40.76033055,-73.82987293,7188881808,Find free safer sex products at this location.,1.90E+13,1.90E+13,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,TRUE,TRUE,TRUE,,,407,20,87100,4534816,4049787501,QN22
61070920,"Cynthia Lama, MD aka Servicio Medicos Hispanos",Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,90-14 Elmhurst Avenue,,Queens,11372,40.74866965,-73.87611025,NA,Find free safer sex products inside a dispenser located on the 2nd fl near the restrooms at this physician.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,403,21,27500,4036369,4014780038,QN28
61071126,Milano's Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,51 East Houston Street,,Manhattan,10012,40.72476912,-73.99444037,212-777-6028,Find free safer sex products inside a fishbowl located in the back at this bar/lounge.,1.90E+13,1.90E+13,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,10:00 AM - 4:00 AM,12:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,102,1,4300,1007921,1005090023,MN24
61070846,Boulevard (Formerly Natives),Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,82-22 Northern Boulevard,,Queens,11372,40.75557108,-73.88508137,NA,Find free safer sex products inside a dispenser/fishbowl located upstairs near the restrooms at this restaurant.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,403,25,28300,4440874,4014300006,QN28
61071338,Wakamba Bar,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,543 8 Avenue,,Manhattan,10018,40.75425322,-73.99196907,(347) 430-2300,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,104,3,11100,1013621,1007610032,MN13
61071351,Zeke'S Bar & Lounge,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,1452 Fulton Street,,Brooklyn,11216,40.67999588,-73.9425664,(917) 271-3332,Find free safer sex products at this location.,1.90E+13,1.90E+13,,,,,,,,TRUE,TRUE,TRUE,,,303,36,27100,3344212,3018630022,BK61
61071276,Terraza 7,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,40-19 Gleane Street,,Queens,11373,40.74732247,-73.88179338,NA,Find free safer sex products inside a dispenser located in the back near the restroom at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,FALSE,,,404,21,26901,4037072,4015030004,QN29
61071046,House of Yes,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,2 Wyckoff Avenue,,Brooklyn,11237,40.70694665,-73.92348817,718-991-0605,Find free safer sex products inside a fishbowl located at the end of the bar at this bar/lounge.,1.90E+13,1.90E+13,,7:00 PM - 2:00 AM,7:00 PM - 2:00 AM,7:00 PM - 4:00 AM,7:00 PM - 4:30 AM,7:00 PM - 4:30 AM,7:00 PM - 2:00 AM,TRUE,TRUE,TRUE,,,304,34,44700,3072395,3031760034,BK77
61071308,The Woods,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,48 South 5 Street,,Brooklyn,11249,40.71230324,-73.96691904,NA,Find free safer sex products inside a fishbowl located on the right side by the bar at this bar/lounge.,1.90E+13,1.90E+13,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,4:00 PM - 4:00 AM,2:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,TRUE,FALSE,FALSE,,,301,33,54900,,3,BK73
61071265,Stonewall Inn,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,53 Christopher Street,,Manhattan,10014,40.73371991,-74.00212528,NA,Find free safer sex products inside a fishbowl located in the back near the restroom at this bar/lounge.,1.90E+13,1.90E+13,,,,,,,,TRUE,FALSE,TRUE,,,102,3,7300,1082221,1006100001,MN23
